PROVINCIAS	A_BRUNS_LINDER	A.M.C.	AC_CARS	ACURA	ADRIA	ALFA_ROMEO	ALLIED_VEHICLES_LTD	ALPINA	ALPINE	ALPINE_RENAULT	AMF_HARLEY_DAVIDSON	APRILIA	ARIEL	ASTON_MARTIN	AUDI	AUSTIN	AUSTIN_MORRIS	AUSTIN_ROVER	AUSTIN-HEALEY	AUTOMOBILI_LAMBORGHINI	AUTONACIONAL	AUTOUNION-DKW	AVELING_BARFORD	B.M._VOLVO_VIKING	BAYER.MOT.WERKW-BMW	BENTLEY	BESSIA_MOTORSPORT	BISCUTER	BMW	BMW_I	BOMBARDIER	BUGATTI	BUICK	BWW	C.M.C.	CADILLAC	CAPRON	CAPRON_GMBH	CARBODIES	CATERHAM	CBP	CHALLENGER	CHEVROLET	CHRY	CHRYSLER	CHRYSLER_LLC_DODGE	CHRYSLER_LLC_JEEP	CITROEN	CITROËN	CLASSIC_CAR_WITTEK	CORVETTE	CUPRA	DACIA	DAEWOO	DAIHATRA	DAIHATSU	DAIMLER	DAIMLER_AG	DAIMLER_BENZ_AG	DAIMLER_CHRYSLER	DAIMLERCHRYSLER_CO_JEEP	DATSUN	DE_SOTO	DFSK	DODGE	DR	DREAMER	DS	DUCATI	DUTTON	ERIBA-HYMER	FERRARI	FIAT	FORD	FORD_CNG_TECHNIK	FRANKLIN_AUTOMOBILE	FRUA_PORSCHE	GAMC	GAZ	GMC	GOGGOMOBIL	GREAT_WALL	HOLMAN	HONDA	HURRICANE	HYUNDAI	HYUNDAI_MOTOR	INFINITI	INNOCENTI	ISO	ISUZU	JAC	JAGUAR	JAGUAR_CARS_LTD	JAGUAR_DAIMLER	JAGUAR_LAND_ROVER	JAGUAR_LAND_ROVER_LIMIT	JAGUAR_LAND_ROVER_LTD	JEEP	JETSTREAM_SC250	JIMINI	KARMANN-MOBIL	KIA	KIA_MOTOR_(ROK)	KIA_MOTORS	L.M.	LADA	LAIKA	LAIKA_CARAVANS_SPA	LAMBORGHINI	LANCIA	LAND__ROVER	LAND_ROVER	LEXUS	LEYLAND	LINCOLN	LOCUST	LONDON_TAXIS_INTERNAT.	LOTUS	LOTUS_CARS_LTD	M.G.	MAHINDRA	MARC_MAÑAS	MASERATI	MAZDA	MCC	MCC_SMART	MCLAREN	MERCEDES-AMG	MERCEDES-BENZ	MERCURY	MEYERS_MANX	MG_CAR_COMP	MICRO_COMPACT_CAR_SMART	MIMSA	MINI	MITSUBISHI	MK	MORGAN	MORRIS	NETHERLANDS_CAR	NISSAN	OLDSMOBILE	OLEOPEL	OLMEDO	OPEL	PACKARD	PEUGEOT	PGO	PILGRIM	PLA	PLYMOUTH	POESSL	PONTIAC	PORSCHE	RAM	RENAULT	RENAULT_TECH	RILEY	ROLLS_ROYCE	ROVER	SAAB	SALVADOR	SATURN	SCION	SEAT	SIFTT	SIMCA	SIN_MARCA	SKODA	SMART	SOVRA_LM	SSANGYONG	STANDARD_STEELL	STUDEBAKER	SUBARU	SUN_LIVING	SUZUKI	T.V.R.	TATA	TESLA	TESLA_MOTORS	THOROUGHRED	TOYOTA	TRABANT	TRIPOD	TRIUMPH	TSD	VAUXHALL	VAZ	VOISIN_AUTONACIONAL	VOLKNER	VOLKSWAGEN	VOLKSWAGEN_AG	VOLKSWAGEN_V_W	VOLVO	VW-PORSCHE	WESTFIELD	WIESMANN	WILLYS_OVERLAND	WILLYS_VIASA
Araba/Álava	0	0	0	0	0	10	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1532	0	0	0	2	269	1	0	0	0	1	0	0	0	0	0	1	0	0	0	97	0	0	0	0	52	361	2	0	0	0	0	0	0	0	0	51	0	620	0	0	0	0	0	0	4	0	0	0	0	0	23	0	0	0	255	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	130	0	1	0	0	197	0	0	0	0	0	41	50	0	0	0	0	174	0	0	0	210	0	796	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	165	0	0	0	113	0	0	6	0	0	15	0	15	0	0	0	0	0	405	0	0	0	0	0	0	0	0	289	0	18	157	0	0	0	0	0
Albacete	0	0	0	0	0	142	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	150	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	180	0	0	0	4	189	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1441	162	2	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	587	0	0	0	331	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	1	0	0	0	177	0	1	0	0	240	0	0	0	0	0	21	36	0	0	0	0	141	0	0	0	172	0	226	0	0	0	0	0	0	5	0	64	0	0	0	0	0	0	0	0	357	0	0	0	153	5	0	17	0	0	8	0	54	0	0	0	0	0	241	1	0	0	0	0	0	0	0	442	0	9	98	0	0	0	0	0
Alicante/Alacant	0	0	0	1	1	58	0	0	0	0	0	0	0	2	1089	0	1	0	0	0	0	0	2	2	0	13	0	0	1396	17	0	0	0	0	0	0	0	0	0	0	0	0	36	0	20	0	1	2671	1	0	0	17	1693	0	0	3	0	0	0	0	0	0	0	2	8	3	0	69	0	0	0	3	3774	2691	18	0	2	0	0	0	0	0	0	181	0	3249	0	12	0	0	0	0	73	2	0	1	0	0	187	0	3	0	2627	2	2	0	0	0	0	1	12	1	27	293	0	1	0	1	2	0	10	0	0	7	506	0	5	1	3	2039	1	0	0	3	0	418	242	0	1	0	0	2107	1	1	0	2540	0	3340	1	0	0	2	0	1	112	0	2115	0	0	0	6	25	0	0	0	1826	0	0	0	1395	39	0	43	0	0	53	0	206	1	0	3	1	0	2455	0	0	1	0	31	0	0	0	2439	0	9	298	0	0	0	0	0
Almería	0	0	0	0	0	6	0	0	0	0	0	0	0	1	438	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	1004	0	0	0	11	152	0	0	0	0	0	0	1	0	0	0	4	1	3	0	51	0	0	0	0	24	438	2	0	0	0	0	1	0	0	0	29	0	530	0	1	0	0	0	0	14	0	0	0	0	0	11	0	4	0	565	0	0	0	0	0	0	0	1	0	7	7	0	1	0	0	0	0	1	0	0	2	162	0	1	0	0	600	0	0	0	0	0	24	91	0	0	0	0	39	0	0	0	314	0	248	0	0	0	0	0	0	10	0	133	0	0	0	2	4	0	0	0	588	0	0	0	184	12	1	20	0	0	14	0	26	0	0	0	1	0	478	0	0	0	0	21	0	0	1	733	2	35	150	0	0	0	0	0
Ávila	0	0	0	0	0	24	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	5	0	0	0	0	0	0	0	0	1	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	190	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	104	0	0	0	0	51	0	0	0	0	0	1	24	0	0	0	0	13	0	0	0	96	0	39	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	13	0	0	0	0	2	0	0	2	0	0	3	0	0	0	0	0	0	0	0	10	0	1	77	0	0	0	0	0
Badajoz	0	0	0	0	0	1	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	1	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	813	0	0	0	15	680	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	9	454	4	0	0	0	0	0	0	0	0	3	0	671	0	7	0	0	0	0	9	0	0	0	0	1	8	0	0	0	516	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	3	115	0	1	1	3	549	0	0	0	0	0	23	51	0	0	0	0	219	0	0	0	511	0	611	0	0	0	0	0	0	24	0	362	0	0	0	0	1	0	0	0	782	0	0	0	384	3	0	39	0	0	14	0	24	0	0	2	1	0	520	0	0	0	0	0	0	0	0	619	0	21	192	0	0	0	0	0
Balears (Illes)	0	0	0	0	0	151	0	0	0	0	0	0	0	2	579	0	0	0	1	0	0	0	0	0	0	0	0	0	319	8	1	0	1	0	0	0	0	0	0	0	0	0	6	0	4	0	0	756	0	0	0	5	1138	1	0	3	0	0	0	0	0	0	0	3	2	0	0	7	0	0	0	4	2703	1388	23	0	0	0	1	0	0	0	0	71	1	1491	0	2	0	0	0	0	8	0	0	0	0	0	514	0	0	0	1217	0	0	0	1	0	0	1	3	0	29	5	0	0	0	0	0	0	6	0	0	9	491	0	10	2	1	511	0	0	0	0	0	447	223	0	0	0	0	667	1	0	1	1367	0	2024	0	0	0	0	0	2	84	0	1223	1	0	2	0	3	0	0	0	1014	0	0	0	393	25	0	36	0	0	20	0	135	0	0	0	0	0	292	0	0	2	0	0	0	0	0	1482	0	2	97	0	0	0	0	0
Barcelona	0	0	0	0	7	400	0	0	6	0	0	0	0	6	3163	0	0	0	0	9	0	0	2	0	0	15	0	1	2453	58	0	1	0	0	0	2	0	0	0	1	0	0	23	0	5	0	0	5647	1	0	0	410	5746	0	0	1	0	0	0	0	0	0	0	17	7	63	0	403	0	0	0	18	4430	5358	76	0	1	0	0	0	0	0	0	955	0	3735	1	18	0	1	0	0	97	0	0	0	1	0	2438	0	3	0	6884	1	1	0	0	0	0	1	5	0	49	1060	0	0	0	0	5	2	1	5	0	30	2104	1	174	5	16	4679	1	0	0	0	0	1232	736	0	0	0	0	5152	1	0	0	3227	0	7014	0	0	0	1	2	0	347	0	4172	3	1	1	0	0	1	0	0	15368	0	1	0	3150	60	0	249	0	0	372	0	755	0	0	23	4	0	7114	0	0	0	1	0	0	0	0	8531	3	37	629	0	2	0	0	2
Burgos	0	0	0	0	0	28	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	151	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	422	0	0	0	3	317	0	0	0	0	0	0	0	0	0	0	26	0	11	0	0	0	0	0	0	50	97	0	0	0	0	0	0	0	0	0	43	0	268	0	0	0	0	0	0	4	0	0	0	0	0	35	0	1	0	357	0	0	0	0	0	0	0	1	0	1	297	0	0	0	0	0	0	1	0	0	1	132	0	1	0	0	206	0	0	0	0	0	29	85	0	0	0	0	139	0	0	0	273	0	383	0	0	0	0	0	0	10	0	317	0	0	0	0	1	0	0	0	321	0	0	0	166	1	0	28	0	0	21	0	41	0	0	1	0	0	319	0	0	0	0	0	0	0	0	357	0	5	91	0	0	0	0	0
Cáceres	0	0	0	0	0	1	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	56	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	258	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	79	0	0	0	2	102	0	0	0	0	0	9	19	0	0	0	0	151	0	0	0	135	0	16	0	0	0	0	0	0	14	0	358	0	0	0	0	1	0	0	0	9	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	1	0	350	0	0	0	0	1	0	0	0	304	0	11	57	0	0	0	0	0
